"From                     	                          To","Player  (116)","Pos","Yrs","Value                                                                         $1,884,050,000","AAV                                                                         $10,295,355"
"PHI","Bryce Harper                                                               QO","RF/RF","13","$330,000,000","$25,384,615"
"SD","Manny Machado","3B/SS","10","$300,000,000","$30,000,000"
"WSH","Patrick Corbin                                                               QO","SP/SP2","6","$140,000,000","$23,333,333"
"BOS","Nathan Eovaldi","SP/SP1","4","$68,000,000","$17,000,000"
"LAD","A.J. Pollock                                                               QO","LF","5","$60,000,000","$12,000,000"
"PHI","Andrew McCutchen","RF/RF","3","$50,000,000","$16,666,667"
"SEA","Yusei Kikuchi","SP","3","$43,000,000","$14,333,333"
"CHC","Craig Kimbrel                                                               QO","RP/CL","3","$43,000,000","$14,333,333"
"NYY","Zack Britton","RP","3","$39,000,000","$13,000,000"
"NYY","J.A. Happ","SP","2","$34,000,000","$17,000,000"
"HOU","Michael Brantley","LF","2","$32,000,000","$16,000,000"
"TEX","Lance Lynn","SP/SP1","3","$30,000,000","$10,000,000"
"TB","Charlie Morton","SP/SP2","2","$30,000,000","$15,000,000"
"NYM","Jeurys Familia","RP/CL","3","$30,000,000","$10,000,000"
"NYY","Adam Ottavino","RP/SU8","3","$27,000,000","$9,000,000"
"STL","Andrew Miller","RP","2","$25,000,000","$12,500,000"
"LAD","Joe Kelly","RP","3","$25,000,000","$8,333,333"
"COL","Daniel Murphy","1B","2","$24,000,000","$12,000,000"
"NYY","D.J. LeMahieu","2B/DH","2","$24,000,000","$12,000,000"
"PHI","David Robertson","RP/CL","2","$23,000,000","$11,500,000"
"ATL","Josh Donaldson","3B","1","$23,000,000","$23,000,000"
"ATL","Dallas Keuchel                                                               QO","SP/SP4","1","$21,210,000","$21,210,000"
"MIN","Marwin Gonzalez","3B","2","$21,000,000","$10,500,000"
"NYM","Jed Lowrie","2B","2","$20,000,000","$10,000,000"
"WSH","Aníbal Sánchez","SP","2","$19,000,000","$9,500,000"
"NYM","Wilson Ramos","C","2","$19,000,000","$9,500,000"
"MIL","Yasmani Grandal                                                               QO","C","1","$18,250,000","$18,250,000"
"CHW","Kelvin Herrera","RP","2","$18,000,000","$9,000,000"
"LAD","Hyun-Jin Ryu                                                               QO","SP/SP3","1","$17,900,000","$17,900,000"
"SD","Garrett Richards","SP","2","$15,500,000","$7,750,000"
"OAK","Joakim Soria","RP/CL","2","$15,000,000","$7,500,000"
"MIN","Nelson Cruz","DH","1","$14,300,000","$14,300,000"
"OAK","Michael Fiers","SP","2","$14,100,000","$7,050,000"
"MIL","Mike Moustakas","3B","1","$10,000,000","$10,000,000"
"WSH","Kurt Suzuki","C","2","$10,000,000","$5,000,000"
"NYM","Justin Wilson","RP","2","$10,000,000","$5,000,000"
"LAA","Trevor Cahill","SP","1","$9,000,000","$9,000,000"
"WSH","Brian Dozier","2B","1","$9,000,000","$9,000,000"
"LAA","Cody Allen","RP","1","$8,500,000","$8,500,000"
"NYY","CC Sabathia","SP/SP3","1","$8,000,000","$8,000,000"
"TEX","Jesse Chavez","RP","2","$8,000,000","$4,000,000"
"SD","Ian Kinsler","2B","2","$8,000,000","$4,000,000"
"MIN","Jonathan Schoop","2B/SS","1","$7,500,000","$7,500,000"
"WSH","Trevor Rosenthal","RP","1","$7,000,000","$7,000,000"
"SF","Derek Holland","RP","1","$7,000,000","$7,000,000"
"TEX","Jeff Mathis","C","2","$6,250,000","$3,125,000"
"DET","Tyson Ross","SP","1","$5,750,000","$5,750,000"
"HOU","Robinson Chirinos","C/1B","1","$5,750,000","$5,750,000"
"ARI","Merrill Kelly","SP/SP2/SP3/SP3","2","$5,500,000","$2,750,000"
"KC","Billy Hamilton","CF","1","$5,250,000","$5,250,000"
"DET","Jordy Mercer","SS","1","$5,250,000","$5,250,000"
"CHC","Daniel Descalso","2B/LF","2","$5,000,000","$2,500,000"
"TOR","Freddy Galvis","SS","1","$5,000,000","$5,000,000"
"HOU","Wade Miley","SP/SP2","1","$4,500,000","$4,500,000"
"ARI","Wilmer Flores","1B","1","$4,250,000","$4,250,000"
"CHW","Jon Jay","RF","1","$4,000,000","$4,000,000"
"WSH","Matt Adams","1B","1","$4,000,000","$4,000,000"
"OAK","Marco Estrada","SP/SP3","1","$4,000,000","$4,000,000"
"MIN","Martín Pérez","SP/SP5","1","$4,000,000","$4,000,000"
"TEX","Asdrubal Cabrera","2B","1","$3,500,000","$3,500,000"
"TOR","Matt Shoemaker","SP/SP5","1","$3,500,000","$3,500,000"
"TB","Avisaíl García","RF","1","$3,500,000","$3,500,000"
"LAA","Jonathan Lucroy","C","1","$3,350,000","$3,350,000"
"ARI","Greg Holland","RP","1","$3,250,000","$3,250,000"
"TOR","Clay Buchholz","SP/SP3","1","$3,000,000","$3,000,000"
"KC","Chris Owings","SS","1","$3,000,000","$3,000,000"
"CHC","Brad Brach","RP","1","$3,000,000","$3,000,000"
"ARI","Adam Jones","CF","1","$3,000,000","$3,000,000"
"TEX","Shawn Kelley","RP","1","$2,750,000","$2,750,000"
"KC","Jake Diekman","RP","1","$2,750,000","$2,750,000"
"PIT","Lonnie Chisenhall","RF","1","$2,750,000","$2,750,000"
"CLE","Oliver Perez","RP","1","$2,500,000","$2,500,000"
"MIA","Sergio Romo","RP","1","$2,500,000","$2,500,000"
