"From                     	                          To","Player  (116)","Pos","Yrs","Value                                                                         $1,884,050,000","AAV                                                                         $10,295,355"
"LAA","Justin Bour","1B","1","$2,500,000","$2,500,000"
"CHW","James McCann","C","1","$2,500,000","$2,500,000"
"SD","Adam Warren","RP","1","$2,500,000","$2,500,000"
"TOR","David Phelps","RP","1","$2,500,000","$2,500,000"
"KC","Martin Maldonado","C","1","$2,500,000","$2,500,000"
"DET","Matt Moore","RP/SU7","1","$2,500,000","$2,500,000"
"KC","Brad Boxberger","RP/SU8","1","$2,200,000","$2,200,000"
"PIT","Jordan Lyles","SP","1","$2,050,000","$2,050,000"
"MIL","Gio Gonzalez","SP/SP4","1","$2,000,000","$2,000,000"
"MIA","Neil Walker","2B","1","$2,000,000","$2,000,000"
"OAK","Robbie Grossman","RF","1","$2,000,000","$2,000,000"
"CIN","Zach Duke","RP","1","$2,000,000","$2,000,000"
"TEX","Shelby Miller","RP/SU7","1","$2,000,000","$2,000,000"
"ATL","Brian McCann","C","1","$2,000,000","$2,000,000"
"DET","Josh Harrison","2B/SS","1","$2,000,000","$2,000,000"
"MIN","Blake Parker","RP","1","$1,800,000","$1,800,000"
"SEA","Tim Beckham","3B","1","$1,750,000","$1,750,000"
"OAK","Brett Anderson","SP","1","$1,500,000","$1,500,000"
"SF","Drew Pomeranz","RP","1","$1,500,000","$1,500,000"
"SEA","Cory Gearrin","RP","1","$1,400,000","$1,400,000"
"SD","Aaron Loup","RP","1","$1,400,000","$1,400,000"
"WSH","Jeremy Hellickson","RP","1","$1,300,000","$1,300,000"
"SEA","Hunter Strickland","RP","1","$1,300,000","$1,300,000"
"WSH","Tony Sipp","RP","1","$1,250,000","$1,250,000"
"MIL","Cory Spangenberg","2B","1","$1,200,000","$1,200,000"
"ARI","Caleb Joseph","C","1","$1,100,000","$1,100,000"
"CLE","Brad Miller","LF/2B","1","$1,000,000","$1,000,000"
"OAK","Chris Herrmann","C","1","$1,000,000","$1,000,000"
"MIL","Jake Petricka","RP","1","$900,000","$900,000"
"BAL","Nate Karns","SP","1","$800,000","$800,000"
"MIL","Alex Wilson","RP","1","$750,000","$750,000"
"CHC","Tony Barnette","RP","1","$750,000","$750,000"
"SEA","Zac Rosscup","RP","1","$610,000","$610,000"
"SF","Pat Venditte","RP","1","$585,000","$585,000"
"CHC","Kendall Graveman","RP/CL","1","$575,000","$575,000"
"CHC","Jonathan Lucroy","C","1","$555,000","$555,000"
"NYM","Joe Panik","2B","1","$555,000","$555,000"
"ATL","Francisco Cervelli","C","1","$555,000","$555,000"
"NYY","Troy Tulowitzki","SS","1","$555,000","$555,000"
"SEA","R.J. Alaniz","RP","0","$0",""
"ATL","Adeiny Hechavarria","SS","0","$0",""
"NYM","Brad Brach","RP","0","$0",""
"LAD","Travis d'Arnaud","C","0","$0",""

