"From                     	                          To","Player  (106)","Pos","Yrs","Value                                                                         $1,414,255,000","AAV                                                                         $7,945,253"
"SD","Eric Hosmer                                                               QO","1B","8","$144,000,000","$18,000,000"
"CHC","Yu Darvish","SP/SP2","6","$126,000,000","$21,000,000"
"BOS","J.D. Martinez","DH/RF","5","$110,000,000","$22,000,000"
"MIL","Lorenzo Cain                                                               QO","CF","5","$80,000,000","$16,000,000"
"PHI","Jake Arrieta                                                               QO","SP/SP1","3","$75,000,000","$25,000,000"
"PHI","Carlos Santana                                                               QO","1B/DH","3","$60,000,000","$20,000,000"
"COL","Wade Davis                                                               QO","RP","3","$52,000,000","$17,333,333"
"NYM","Jay Bruce","RF/RF","3","$39,000,000","$13,000,000"
"CHC","Tyler Chatwood","RP","3","$38,000,000","$12,666,667"
"LAA","Zack Cozart","3B","3","$38,000,000","$12,666,667"
"TEX","Mike Minor","SP/SP1","3","$28,000,000","$9,333,333"
"COL","Bryan Shaw","RP","3","$27,000,000","$9,000,000"
"COL","Jake McGee","RP/SU8","3","$27,000,000","$9,000,000"
"CHC","Brandon Morrow","RP","2","$21,000,000","$10,500,000"
"PHI","Tommy Hunter","RP","2","$18,000,000","$9,000,000"
"SEA","Juan Nicasio","RP","2","$17,000,000","$8,500,000"
"NYM","Todd Frazier","3B","2","$17,000,000","$8,500,000"
"MIN","Addison Reed","RP","2","$16,750,000","$8,375,000"
"PHI","Pat Neshek","RP","2","$16,200,000","$8,100,000"
"BAL","Andrew Cashner","RP","2","$16,000,000","$8,000,000"
"NYM","Jason Vargas","SP/SP5","2","$16,000,000","$8,000,000"
"CLE","Yonder Alonso","1B","2","$16,000,000","$8,000,000"
"STL","Miles Mikolas","SP/SP5","2","$15,500,000","$7,750,000"
"MIL","Jhoulys Chacin","SP","2","$15,500,000","$7,750,000"
"HOU","Joe Smith","RP","2","$15,000,000","$7,500,000"
"CHW","Welington Castillo","C","2","$15,000,000","$7,500,000"
"STL","Greg Holland                                                               QO","RP","1","$14,000,000","$14,000,000"
"NYM","Anthony Swarzak","RP","2","$14,000,000","$7,000,000"
"BOS","Mitch Moreland","1B/DH","2","$13,000,000","$6,500,000"
"CHC","Steve Cishek","RP","2","$13,000,000","$6,500,000"
"MIN","Lance Lynn                                                               QO","SP/SP1","1","$12,000,000","$12,000,000"
"STL","Luke Gregerson","RP","2","$11,000,000","$5,500,000"
"OAK","Yusmeiro Petit","RP","2","$10,000,000","$5,000,000"
"CHC","Drew Smyly","SP","2","$10,000,000","$5,000,000"
"WSH","Brandon Kintzler","RP","2","$10,000,000","$5,000,000"
"TOR","Jaime Garcia","RP","1","$10,000,000","$10,000,000"
"NYY","CC Sabathia","SP/SP3","1","$10,000,000","$10,000,000"
"MIN","Michael Pineda","SP","2","$10,000,000","$5,000,000"
"SF","Tony Watson","RP","3","$9,000,000","$3,000,000"
"COL","Chris Iannetta","C","2","$8,500,000","$4,250,000"
"HOU","Héctor Rondón","RP","2","$8,500,000","$4,250,000"
"ARI","Alex Avila","C","2","$8,250,000","$4,125,000"
"BOS","Eduardo Nunez","3B/SS","2","$8,000,000","$4,000,000"
"COL","Carlos Gonzalez","RF","1","$8,000,000","$8,000,000"
"ARI","Jarrod Dyson","CF","2","$7,500,000","$3,750,000"
"CHC","Brian Duensing","RP","2","$7,000,000","$3,500,000"
"WSH","Howie Kendrick","2B/LF","2","$7,000,000","$3,500,000"
"MIN","Logan Morrison","DH","1","$6,500,000","$6,500,000"
"KC","Mike Moustakas                                                               QO","3B","1","$6,500,000","$6,500,000"
"OAK","Jonathan Lucroy","C","1","$6,500,000","$6,500,000"
"SF","Austin Jackson","CF","2","$6,000,000","$3,000,000"
"DET","Michael Fiers","SP","1","$6,000,000","$6,000,000"
"CIN","David Hernandez","RP","2","$5,000,000","$2,500,000"
"MIL","Matt Albers","RP","2","$5,000,000","$2,500,000"
"TOR","Curtis Granderson","LF","1","$5,000,000","$5,000,000"
"CHW","Miguel Gonzalez","SP","1","$4,750,000","$4,750,000"
"CIN","Jared Hughes","RP","2","$4,500,000","$2,250,000"
"SD","Craig Stammen","RP","2","$4,500,000","$2,250,000"
"MIN","Fernando Rodney","RP","1","$4,500,000","$4,500,000"
"TEX","Doug Fister","SP/SP2","1","$4,000,000","$4,000,000"
"TB","Carlos Gomez","RF","1","$4,000,000","$4,000,000"
"DET","Francisco Liriano","RP","1","$4,000,000","$4,000,000"
"WSH","Matt Adams","1B","1","$4,000,000","$4,000,000"
"NYY","Neil Walker","2B","1","$4,000,000","$4,000,000"
"KC","Lucas Duda","1B","1","$3,500,000","$3,500,000"
"MIA","Cameron Maybin","RF","1","$3,250,000","$3,250,000"
"STL","Bud Norris","RP","1","$3,000,000","$3,000,000"
"KC","Jon Jay","RF","1","$3,000,000","$3,000,000"
"LAA","René Rivera","C","1","$2,800,000","$2,800,000"
"TB","Sergio Romo","RP","1","$2,500,000","$2,500,000"
"MIL","Boone Logan","RP","1","$2,500,000","$2,500,000"
"SF","Nick Hundley","C","1","$2,500,000","$2,500,000"
"MIN","Aníbal Sánchez","SP","1","$2,500,000","$2,500,000"
"KC","Alcides Escobar","SS","1","$2,500,000","$2,500,000"
"MIN","Zach Duke","RP","1","$2,150,000","$2,150,000"
"LAD","Chase Utley","2B","2","$2,000,000","$1,000,000"
"NYM","Jose Reyes","SS/2B","1","$2,000,000","$2,000,000"
"TOR","Seunghwan Oh","RP","1","$2,000,000","$2,000,000"
"LAA","Chris Young","RF/CF/LF","1","$2,000,000","$2,000,000"
"LAD","Tom Koehler","RP","1","$2,000,000","$2,000,000"
"CLE","Oliver Perez","RP","1","$1,750,000","$1,750,000"
"DET","Leonys Martin","CF","1","$1,750,000","$1,750,000"
"KC","Wily Peralta","RP","1","$1,525,000","$1,525,000"
"TEX","Tony Barnette","RP","1","$1,500,000","$1,500,000"
"OAK","Trevor Cahill","SP","1","$1,500,000","$1,500,000"
"TEX","Jesse Chavez","RP","1","$1,500,000","$1,500,000"
"KC","Justin Grimm","RP","1","$1,250,000","$1,250,000"
"SD","Jordan Lyles","SP","1","$1,000,000","$1,000,000"
"WSH","Joaquin Benoit","RP","1","$1,000,000","$1,000,000"
"TEX","Tim Lincecum","RP","1","$1,000,000","$1,000,000"
"ARI","T.J. McFarland","RP","1","$850,000","$850,000"
"ATL","Ryan Flaherty","3B/2B","1","$750,000","$750,000"
"CIN","Yovani Gallardo","SP","1","$750,000","$750,000"
"SEA","Ichiro Suzuki","LF","1","$750,000","$750,000"
"MIL","Dan Jennings","RP","1","$750,000","$750,000"
"SEA","Wade LeBlanc","SP","1","$650,000","$650,000"
"ATL","Peter Moylan","RP","1","$575,000","$575,000"
"ATL","Chris Stewart","C","1","$575,000","$575,000"
"NYM","Austin Jackson","CF","1","$545,000","$545,000"
"CHC","Dario Álvarez","RP","1","$545,000","$545,000"
"NYM","José Bautista","RF/3B","1","$545,000","$545,000"
"NYM","Adrián González","1B","1","$545,000","$545,000"
"MIN","Matt Belisle","RP","1","$0","$0"
"WSH","Greg Holland","RP","0","$0",""
"DET","Zach McAllister","RP","1","$0","$0"
"CHC","Jorge De La Rosa","RP","0","$0",""

