"From                     	                          To","Player  (160)","Pos","Yrs","Value                                                                         $1,466,443,500","AAV                                                                         $6,820,667"
"OAK","Mitch Moreland","1B/DH","1","$2,250,000","$2,250,000"
"ARI","Tyler Clippard","RP","1","$2,250,000","$2,250,000"
"BOS","Matt Andriese","RP","1","$2,100,000","$2,100,000"
"OAK","Sergio Romo","RP","1","$2,000,000","$2,000,000"
"MIN","Matt Shoemaker","SP/SP5","1","$2,000,000","$2,000,000"
"DET","Wilson Ramos","C","1","$2,000,000","$2,000,000"
"MIN","Hansel Robles","RP","1","$2,000,000","$2,000,000"
"TEX","Mike Foltynewicz","SP/SP3","1","$2,000,000","$2,000,000"
"TB","Collin McHugh","RP","1","$1,800,000","$1,800,000"
"TOR","David Phelps","RP","1","$1,750,000","$1,750,000"
"ARI","Asdrubal Cabrera","2B","1","$1,750,000","$1,750,000"
"DET","Nomar Mazara","RF","1","$1,750,000","$1,750,000"
"KC","Michael A. Taylor","CF","1","$1,750,000","$1,750,000"
"BOS","Danny Santana","OF/2B","1","$1,750,000","$1,750,000"
"KC","Jarrod Dyson","CF","1","$1,500,000","$1,500,000"
"PIT","Trevor Cahill","SP","1","$1,500,000","$1,500,000"
"CHC","Austin Romine","C","1","$1,500,000","$1,500,000"
"WSH","Alex Avila","C","1","$1,500,000","$1,500,000"
"BAL","Freddy Galvis","SS","1","$1,500,000","$1,500,000"
"LAA","Kurt Suzuki","C","1","$1,500,000","$1,500,000"
"SF","Curt Casali","C","1","$1,500,000","$1,500,000"
"CHC","Jake Marisnick","CF","1","$1,500,000","$1,500,000"
"CIN","Sean Doolittle","RP","1","$1,500,000","$1,500,000"
"ATL","Josh Tomlin","RP","1","$1,250,000","$1,250,000"
"NYM","Albert Almora","CF","1","$1,250,000","$1,250,000"
"SD","Keone Kela","RP","1","$1,200,000","$1,200,000"
"SF","Matt Wisler","RP","1","$1,150,000","$1,150,000"
"TB","Chaz Roe","RP","1","$1,150,000","$1,150,000"
"SF","Jose Alvarez","RP","1","$1,150,000","$1,150,000"
"LAA","Álex Claudio","RP","1","$1,125,000","$1,125,000"
"HOU","Ryne Stanek","RP","1","$1,100,000","$1,100,000"
"LAA","Tony Watson","RP","1","$1,000,000","$1,000,000"
"LAA","Steve Cishek","RP","1","$1,000,000","$1,000,000"
"CHC","Matt Duffy","3B","1","$1,000,000","$1,000,000"
"WSH","Ryan Zimmerman","1B","1","$1,000,000","$1,000,000"
"BAL","Felix Hernandez","SP","1","$1,000,000","$1,000,000"
"LAD","Cole Hamels","SP/SP2","1","$1,000,000","$1,000,000"
"ARI","Chris Devenski","RP","1","$1,000,000","$1,000,000"
"CHC","Brandon Workman","RP","1","$1,000,000","$1,000,000"
