"From                     	                          To","Player  (104)","Pos","Yrs","Value                                                                         $1,440,185,000","AAV                                                                         $8,623,862"
"NYM","Yoenis Céspedes                                                               QO","LF","4","$110,000,000","$27,500,000"
"NYY","Aroldis Chapman","RP/SU8","5","$86,000,000","$17,200,000"
"STL","Dexter Fowler","RF","5","$82,500,000","$16,500,000"
"LAD","Kenley Jansen                                                               QO","RP/CL","5","$80,000,000","$16,000,000"
"COL","Ian Desmond","CF/1B","5","$70,000,000","$14,000,000"
"LAD","Justin Turner                                                               QO","3B/1B","4","$64,000,000","$16,000,000"
"SF","Mark Melancon","RP","4","$62,000,000","$15,500,000"
"CLE","Edwin Encarnacion                                                               QO","DH/1B","3","$60,000,000","$20,000,000"
"HOU","Josh Reddick","RF","4","$52,000,000","$13,000,000"
"LAD","Rich Hill","SP","3","$48,000,000","$16,000,000"
"BAL","Mark Trumbo                                                               QO","DH","3","$37,500,000","$12,500,000"
"TOR","Kendrys Morales","DH/1B","3","$33,000,000","$11,000,000"
"STL","Brett Cecil","RP","4","$30,500,000","$7,625,000"
"PIT","Ivan Nova","SP/SP3","3","$26,000,000","$8,666,667"
"MIN","Jason Castro","C/DH","3","$24,500,000","$8,166,667"
"MIA","Edinson Volquez","RP","2","$22,000,000","$11,000,000"
"WSH","Matt Wieters","C","2","$21,000,000","$10,500,000"
"COL","Mike Dunn","RP","3","$19,000,000","$6,333,333"
"TOR","José Bautista                                                               QO","RF/3B","1","$18,500,000","$18,500,000"
"NYM","Neil Walker                                                               QO","2B","1","$17,200,000","$17,200,000"
"PHI","Jeremy Hellickson                                                               QO","RP","1","$17,200,000","$17,200,000"
"KC","Jason Hammel","RP","2","$16,000,000","$8,000,000"
"MIA","Brad Ziegler","RP","2","$16,000,000","$8,000,000"
"HOU","Carlos Beltrán","DH/RF","1","$16,000,000","$16,000,000"
"LAA","Luis Valbuena","3B","2","$15,000,000","$7,500,000"
"HOU","Charlie Morton","SP/SP2","2","$14,000,000","$7,000,000"
"BAL","Welington Castillo","C","2","$13,000,000","$6,500,000"
"NYY","Matt Holliday","OF","1","$13,000,000","$13,000,000"
"TOR","Steven Pearce","1B/LF","2","$12,500,000","$6,250,000"
"ATL","Bartolo Colon","SP/SP2","1","$12,500,000","$12,500,000"
"TB","Wilson Ramos","C","2","$12,500,000","$6,250,000"
"KC","Travis Wood","SP","2","$12,000,000","$6,000,000"
"KC","Brandon Moss","DH","2","$12,000,000","$6,000,000"
"MIA","Junichi Tazawa","RP","2","$12,000,000","$6,000,000"
"ATL","Sean Rodriguez","2B","2","$11,500,000","$5,750,000"
"TEX","Carlos Gomez","RF","1","$11,500,000","$11,500,000"
"OAK","Matt Joyce","LF","2","$11,000,000","$5,500,000"
"PIT","Daniel Hudson","RP/CL","2","$11,000,000","$5,500,000"
"SEA","Marc Rzepczynski","RP","2","$11,000,000","$5,500,000"
"OAK","Santiago Casilla","RP","2","$11,000,000","$5,500,000"
"TEX","Andrew Cashner","RP","1","$10,000,000","$10,000,000"
"PHI","Michael Saunders","LF","1","$9,000,000","$9,000,000"
"TEX","Mike Napoli","1B/DH","1","$8,500,000","$8,500,000"
"CHC","Jon Jay","RF","1","$8,000,000","$8,000,000"
"ATL","R.A. Dickey","SP/SP4","1","$8,000,000","$8,000,000"
"PHI","Joaquin Benoit","RP","1","$7,500,000","$7,500,000"
"COL","Greg Holland","RP","1","$7,000,000","$7,000,000"
"NYM","Jerry Blevins","RP","1","$6,500,000","$6,500,000"
"CLE","Boone Logan","RP","1","$6,500,000","$6,500,000"
"OAK","Rajai Davis","CF","1","$6,000,000","$6,000,000"
"CHC","Koji Uehara","RP","1","$6,000,000","$6,000,000"
"CHW","Derek Holland","RP","1","$6,000,000","$6,000,000"
"LAA","Jesse Chavez","RP","1","$5,750,000","$5,750,000"
"BOS","Mitch Moreland","1B/DH","1","$5,500,000","$5,500,000"
"MIL","Neftali Feliz","RP","1","$5,350,000","$5,350,000"
"OAK","Trevor Plouffe","3B/2B","1","$5,250,000","$5,250,000"
"TB","Colby Rasmus","LF","1","$5,000,000","$5,000,000"
"WSH","Joe Blanton","RP","1","$4,000,000","$4,000,000"
"ARI","Jeff Mathis","C","2","$4,000,000","$2,000,000"
"LAA","Ben Revere","CF","1","$4,000,000","$4,000,000"
"KC","Drew Butera","C","2","$3,800,000","$1,900,000"
"CHC","Brett Anderson","SP","1","$3,500,000","$3,500,000"
"NYY","Chris Carter","1B","1","$3,500,000","$3,500,000"
"WSH","Stephen Drew","2B/SS","1","$3,500,000","$3,500,000"
"NYM","Fernando Salas","RP","1","$3,000,000","$3,000,000"
"PHI","Andres Blanco","3B","1","$3,000,000","$3,000,000"
"LAD","Sergio Romo","RP","1","$3,000,000","$3,000,000"
"MIA","Jeff Locke","RP","1","$3,000,000","$3,000,000"
"TOR","J.P. Howell","RP","1","$3,000,000","$3,000,000"
"TOR","Joe Smith","RP","1","$3,000,000","$3,000,000"
"CIN","Drew Storen","RP","1","$3,000,000","$3,000,000"
"SD","Jered Weaver","SP/SP3","1","$3,000,000","$3,000,000"
"ARI","Fernando Rodney","RP","1","$2,750,000","$2,750,000"
"LAD","Franklin Gutierrez","CF","1","$2,600,000","$2,600,000"
"MIA","A.J. Ellis","C","1","$2,500,000","$2,500,000"
"BAL","Edwin Jackson","SP/SP5","1","$2,450,000","$2,450,000"
"CIN","Scott Feldman","SP/SP1","1","$2,300,000","$2,300,000"
"MIN","Matt Belisle","RP","1","$2,050,000","$2,050,000"
"BAL","Pedro Alvarez","1B","1","$2,000,000","$2,000,000"
"CHC","Brian Duensing","RP","1","$2,000,000","$2,000,000"
"LAD","Chase Utley","2B","1","$2,000,000","$2,000,000"
"DET","Alex Avila","C","1","$2,000,000","$2,000,000"
"SF","Nick Hundley","C","1","$2,000,000","$2,000,000"
"TB","Nathan Eovaldi","SP/SP1","1","$2,000,000","$2,000,000"
"SD","Clayton Richard","RP","1","$1,750,000","$1,750,000"
"SD","Jhoulys Chacin","SP","1","$1,750,000","$1,750,000"
"MIA","Dustin McGowan","RP","1","$1,750,000","$1,750,000"
"SD","Trevor Cahill","SP","1","$1,750,000","$1,750,000"
"ARI","Chris Iannetta","C","1","$1,500,000","$1,500,000"
"ARI","Daniel Descalso","2B/LF","1","$1,500,000","$1,500,000"
"ATL","Kurt Suzuki","C","1","$1,500,000","$1,500,000"
"WSH","Adam Lind","1B/DH","1","$1,500,000","$1,500,000"
"WSH","Chris Heisey","LF/CF","1","$1,400,000","$1,400,000"
"OAK","Adam Rosales","2B/SS/3B","1","$1,250,000","$1,250,000"
"COL","Alexi Amarista","SS","1","$1,250,000","$1,250,000"
"MIL","Tommy Milone","SP","1","$1,250,000","$1,250,000"
"ATL","Jacob Lindgren","RP","1","$1,025,000","$1,025,000"
"TB","Shawn Tolleson","RP","1","$1,000,000","$1,000,000"
"MIL","Jared Hughes","RP","1","$950,000","$950,000"
"BAL","Logan Ondrusek","RP","1","$650,000","$650,000"
"PIT","Lisalverto Bonilla","RP","1","$575,000","$575,000"
"KC","Neftali Feliz","RP","1","$535,000","$535,000"
"SEA","Casey Fien","RP","1","$100,000","$100,000"
"NYM","Neil Ramirez","RP","0","$0",""

