"From                     	                          To","Player  (141)","Pos","Yrs","Value                                                                         $1,782,255,000","AAV                                                                         $8,064,502"
"WSH","Max Scherzer                                                               QO","SP/SP2","7","$210,000,000","$30,000,000"
"CHC","Jon Lester","SP","6","$155,000,000","$25,833,333"
"BOS","Pablo Sandoval                                                               QO","3B","5","$95,000,000","$19,000,000"
"BOS","Hanley Ramirez                                                               QO","1B/DH","4","$88,000,000","$22,000,000"
"TOR","Russell Martin                                                               QO","C","5","$82,000,000","$16,400,000"
"SD","James Shields                                                               QO","SP/SP1","4","$75,000,000","$18,750,000"
"ARI","Yasmany Tomas","LF/OF","6","$68,500,000","$11,416,667"
"DET","Victor Martinez                                                               QO","DH","4","$68,000,000","$17,000,000"
"SEA","Nelson Cruz                                                               QO","DH","4","$57,000,000","$14,250,000"
"MIN","Ervin Santana","SP/SP1","4","$55,000,000","$13,750,000"
"NYY","Chase Headley","3B","4","$52,000,000","$13,000,000"
"LAD","Brandon McCarthy","SP/SP3","4","$48,000,000","$12,000,000"
"CHW","David Robertson                                                               QO","RP/CL","4","$46,000,000","$11,500,000"
"ATL","Nick Markakis","RF","4","$44,000,000","$11,000,000"
"CHW","Melky Cabrera                                                               QO","LF","3","$42,000,000","$14,000,000"
"PIT","Francisco Liriano                                                               QO","RP","3","$39,000,000","$13,000,000"
"NYY","Andrew Miller","RP","4","$36,000,000","$9,000,000"
"OAK","Billy Butler","DH","3","$30,000,000","$10,000,000"
"CHW","Adam LaRoche","DH","2","$25,000,000","$12,500,000"
"SF","Jake Peavy","RP","2","$24,000,000","$12,000,000"
"HOU","Jed Lowrie","2B","3","$23,000,000","$7,666,667"
"NYM","Michael Cuddyer                                                               QO","LF/1B","2","$21,000,000","$10,500,000"
"CHC","Jason Hammel","RP","2","$20,000,000","$10,000,000"
"KC","Edinson Volquez","RP","2","$20,000,000","$10,000,000"
"HOU","Luke Gregerson","RP","3","$18,500,000","$6,166,667"
"KC","Kendrys Morales","DH/1B","2","$17,000,000","$8,500,000"
"MIA","Mike Morse","LF/1B","2","$16,000,000","$8,000,000"
"CHW","Zach Duke","RP","3","$15,000,000","$5,000,000"
"SF","Sergio Romo","RP","2","$15,000,000","$7,500,000"
"MIL","Francisco Rodriguez","RP","2","$13,000,000","$6,500,000"
"HOU","Pat Neshek","RP","2","$12,500,000","$6,250,000"
"PIT","Jung Ho Kang","3B","4","$11,000,000","$2,750,000"
"KC","Álex Ríos","RF","1","$11,000,000","$11,000,000"
"MIN","Torii Hunter","RF","1","$10,500,000","$10,500,000"
"KC","Luke Hochevar","RP","2","$10,000,000","$5,000,000"
"LAD","Brett Anderson","SP","1","$10,000,000","$10,000,000"
"BOS","Justin Masterson","RP","1","$9,500,000","$9,500,000"
"PIT","A.J. Burnett","SP/SP3","1","$8,500,000","$8,500,000"
"KC","Kris Medlen","SP","2","$8,500,000","$4,250,000"
"ATL","Jason Grilli","RP","2","$8,000,000","$4,000,000"
"HOU","Colby Rasmus","LF","1","$8,000,000","$8,000,000"
"TB","Asdrubal Cabrera","2B","1","$7,500,000","$7,500,000"
"PHI","Kevin Correia","SP","1","$6,500,000","$6,500,000"
"COL","Nick Hundley","C","2","$6,250,000","$3,125,000"
"COL","Kyle Kendrick","SP","1","$5,500,000","$5,500,000"
"NYY","Chris Capuano","RP","1","$5,000,000","$5,000,000"
"NYY","Stephen Drew","2B/SS","1","$5,000,000","$5,000,000"
"PHI","Aaron Harang","SP","1","$5,000,000","$5,000,000"
"CHC","David Ross","C","2","$5,000,000","$2,500,000"
"WSH","Casey Janssen","RP","1","$5,000,000","$5,000,000"
"SF","Nori Aoki","LF","1","$4,700,000","$4,700,000"
"CHC","Jason Motte","RP","1","$4,500,000","$4,500,000"
"CLE","Gavin Floyd","RP","1","$4,000,000","$4,000,000"
"SF","Ryan Vogelsong","SP","1","$4,000,000","$4,000,000"
"TEX","Colby Lewis","SP/SP3","1","$4,000,000","$4,000,000"
"ATL","Jonny Gomes","LF/DH","1","$4,000,000","$4,000,000"
"CHW","Emilio Bonifacio","CF","1","$4,000,000","$4,000,000"
"COL","Daniel Descalso","2B/LF","2","$3,600,000","$1,800,000"
"STL","Matt Belisle","RP","1","$3,500,000","$3,500,000"
"MIL","Neal Cotts","RP","1","$3,000,000","$3,000,000"
"ATL","Alberto Callaspo","3B/SS","1","$3,000,000","$3,000,000"
"CHC","Chris Denorfia","RF/LF","1","$2,600,000","$2,600,000"
"NYY","Chris Young","RF/CF/LF","1","$2,500,000","$2,500,000"
"PIT","Corey Hart","RF","1","$2,500,000","$2,500,000"
"SD","Brandon Morrow","RP","1","$2,500,000","$2,500,000"
"CIN","Burke Badenhop","RP","1","$2,500,000","$2,500,000"
"BAL","Everth Cabrera","SS","1","$2,400,000","$2,400,000"
"BAL","Delmon Young","LF/DH","1","$2,250,000","$2,250,000"
"MIN","Tim Stauffer","RP","1","$2,200,000","$2,200,000"
"SEA","Rickie Weeks","1B","1","$2,000,000","$2,000,000"
"ATL","A.J. Pierzynski","C","1","$2,000,000","$2,000,000"
"STL","Mark Reynolds","3B/1B","1","$2,000,000","$2,000,000"
"MIA","Ichiro Suzuki","LF","1","$2,000,000","$2,000,000"
"BOS","Craig Breslow","RP","1","$2,000,000","$2,000,000"
"CHW","Gordon Beckham","2B","1","$2,000,000","$2,000,000"
"BAL","Wesley Wright","RP","1","$1,700,000","$1,700,000"
"ATL","Jim Johnson","RP","1","$1,600,000","$1,600,000"
"CHW","Geovany Soto","C","1","$1,500,000","$1,500,000"
"SD","Clint Barmes","SS","1","$1,500,000","$1,500,000"
"PHI","Chad Billingsley","SP","1","$1,500,000","$1,500,000"
"BOS","Alexi Ogando","RP","1","$1,500,000","$1,500,000"
"NYM","John Mayberry Jr.","RF","1","$1,450,000","$1,450,000"
"DET","Joba Chamberlain","RP","1","$1,000,000","$1,000,000"
"LAA","Matt Lindstrom","RP","1","$1,000,000","$1,000,000"
"COL","Rafael Betancourt","RP","1","$1,000,000","$1,000,000"
"TEX","Kyuji Fujikawa","RP","1","$1,000,000","$1,000,000"
"COL","Rafael Betancourt","RP","1","$1,000,000","$1,000,000"
"CLE","Shaun Marcum","SP","1","$1,000,000","$1,000,000"
"SD","Josh Johnson","SP","1","$1,000,000","$1,000,000"
"LAA","Matt Lindstrom","RP","1","$1,000,000","$1,000,000"
"DET","Tom Gorzelanny","RP","1","$1,000,000","$1,000,000"
"SF","Justin Maxwell","LF/RF","1","$1,000,000","$1,000,000"
"TOR","Justin Smoak","1B","1","$1,000,000","$1,000,000"
"ATL","Josh Outman","RP","1","$925,000","$925,000"
"TEX","Adam Rosales","2B/SS/3B","1","$900,000","$900,000"
"TEX","Adam Rosales","2B/SS/3B","1","$900,000","$900,000"
"CLE","Scott Downs","RP","1","$800,000","$800,000"
"TB","Ernesto Frieri","RP","1","$800,000","$800,000"
"PHI","Jeanmar Gomez","RP","1","$800,000","$800,000"
"SEA","Endy Chavez","LF/CF","1","$750,000","$750,000"
"SEA","Endy Chavez","LF/CF","1","$750,000","$750,000"
"KC","Chris Young","RP","1","$675,000","$675,000"
"PHI","Dustin McGowan","RP","1","$600,000","$600,000"
"ATL","Jason Frasor","RP","1","$575,000","$575,000"
