"From                     	                          To","Player  (141)","Pos","Yrs","Value                                                                         $1,782,255,000","AAV                                                                         $8,064,502"
"LAA","Jeremy McBryde","RP","1","$507,500","$507,500"
"OAK","Cody Ross","RF/CF","1","$507,500","$507,500"
"ATL","Ross Detwiler","RP","1","$507,500","$507,500"
"LAD","Dustin McGowan","RP","1","$507,500","$507,500"
"TOR","Caleb Gindl","LF","1","$0","$0"
"CIN","Michael Bowden","RP","1","$0","$0"
"ATL","Zoilo Almonte","LF","0","$0",""
"MIA","Casey McGehee","3B","0","$0",""
"ATL","Nick Massett","RP","0","$0",""
"SEA","Shawn O'Malley","LF","1","$0","$0"
"TEX","Tommy Field","2B","1","$0","$0"
"LAA","Yohan Pino","SP","1","$0","$0"
"PIT","Clayton Richard","RP","1","$0","$0"
"TOR","Ezequiel Carrera","LF","1","$0","$0"
"CLE","Michael Roth","SP","1","$0","$0"
"NYY","Cole Figueroa","2B","1","$0","$0"
"DET","Josh Prince","CF","1","$0","$0"
"CLE","Jerry Sands","LF","1","$0","$0"
"PHI","Cord Phelps","2B","1","$0","$0"
"ARI","Dana Eveland","RP","1","$0","$0"
"TB","Corey Brown","CF","1","$0","$0"
"CLE","Jeff Manship","RP","1","$0","$0"
"ATL","David Carpenter","RP","1","$0","$0"
"ATL","John Buck","C","1","$0","$0"
"BAL","Dane De La Rosa","RP","1","$0","$0"
"SF","Cory Gearrin","RP","1","$0","$0"
"LAA","Ryan Mattheus","RP","1","$0","$0"
"ARI","Blake Beavan","RP","1","$0","$0"
"BAL","Cesar Cabral","RP","1","$0","$0"
"ATL","Edwin Jackson","SP/SP5","0","$0",""
"ARI","Danny Worth","2B/3B","1","$0","$0"
"CHC","Trevor Cahill","SP","1","$0","$0"
"SD","Scott Elbert","RP","1","$0","$0"
"LAA","Mat Latos","SP","0","$0",""
"TOR","Wilton Lopez","RP","1","$0","$0"
"CHC","James Russell","RP","1","$0","$0"
"SD","Ramiro Pena","2B","1","$0","$0"

