,Team,Average Age,Total Payroll Allocations,Active 26-Man,Injured,Retained,Buried,Year,Wins,Losses
303,CHW,27.4,"$116,925,487","$94,365,735","$507,500","$9,052,252",-,2015,76,86
304,TEX,27.6,"$135,285,607","$111,715,876","$13,135,760","$10,018,970","$415,001",2015,88,74
305,CIN,27.4,"$112,333,097","$68,445,559","$22,890,777","$20,832,787","$163,974",2015,64,98
306,LAA,28.0,"$142,198,162","$106,512,083","$19,015,000","$16,043,722","$627,357",2015,85,77
307,LAD,28.4,"$301,735,080","$202,137,688","$20,914,084","$68,164,195","$10,519,113",2015,92,70
308,WSH,28.0,"$165,655,095","$146,009,803","$17,556,549","$2,000,000","$88,743",2015,83,79
309,SF,29.4,"$180,163,630","$133,109,385","$38,423,837","$7,522,089","$1,108,319",2015,84,78
310,DET,27.4,"$162,160,921","$109,879,336","$27,072,978","$25,208,607",-,2015,74,87
311,PHI,27.4,"$141,722,639","$52,800,331","$33,290,177","$51,719,664","$3,912,467",2015,63,99
312,BOS,27.2,"$183,481,478","$95,030,446","$42,985,571","$45,443,277","$22,184",2015,78,84
313,NYY,27.6,"$221,242,659","$187,465,727","$24,415,379","$8,459,561","$394,492",2015,87,75
314,COL,27.1,"$101,277,051","$74,930,648","$6,103,870","$19,940,868","$301,665",2015,68,94
315,KC,28.8,"$126,529,835","$111,740,891","$10,483,450","$4,047,582","$257,912",2015,95,67
316,SD,27.6,"$107,915,272","$93,212,255","$11,029,819","$3,267,222","$405,976",2015,74,88
317,MIA,27.1,"$72,990,525","$28,171,144","$15,751,830","$19,528,890","$138,661",2015,71,91
318,TB,27.1,"$73,241,552","$52,092,948","$8,440,963","$12,164,597","$543,044",2015,80,82
319,HOU,27.6,"$81,341,546","$64,818,398","$11,040,900","$3,150,680","$2,331,568",2015,86,76
320,CLE,27.1,"$77,404,413","$45,520,977","$680,720","$29,817,050","$1,385,666",2015,81,80
321,BAL,27.5,"$116,400,870","$97,083,315","$1,245,000","$17,776,584","$295,971",2015,81,81
322,PIT,28.8,"$99,435,606","$78,904,030","$14,318,868","$2,759,768","$452,940",2015,98,64
323,ARI,26.0,"$76,781,801","$45,142,733","$1,026,500","$30,465,028","$147,540",2015,79,83
324,OAK,27.9,"$80,491,339","$42,311,467","$8,772,896","$29,168,581","$238,395",2015,68,94
325,NYM,28.3,"$110,398,927","$103,930,260","$5,551,249","$129,200","$476,251",2015,90,72
326,MIN,28.1,"$106,231,818","$101,448,147","$2,070,081","$2,200,000","$513,590",2015,83,79
327,STL,28.4,"$132,178,951","$128,814,787","$3,195,000",-,"$169,164",2015,100,62
328,CHC,28.3,"$132,993,810","$106,652,384","$1,000,000","$23,656,617","$1,684,809",2015,97,65
329,MIL,26.5,"$93,852,267","$58,772,714","$1,020,000","$33,510,458","$549,095",2015,68,94
330,ATL,27.0,"$116,865,707","$102,713,304",-,"$14,100,492","$51,911",2014,79,83
331,CIN,27.9,"$113,351,318","$99,729,931","$5,500,000","$6,890,711","$1,744,338",2014,76,86
332,WSH,28.3,"$143,278,577","$142,964,370",-,"$136,612","$177,595",2014,96,66
333,ARI,26.9,"$106,343,190","$67,825,588","$9,500,000","$28,134,272","$333,330",2014,64,98
334,LAA,28.6,"$165,244,781","$132,293,502",-,"$32,051,279","$900,000",2014,98,64
335,TOR,28.0,"$141,812,172","$122,125,961","$3,000,000","$5,186,211","$11,500,000",2014,83,79
336,STL,27.5,"$121,340,470","$114,640,584",-,"$5,699,886","$1,000,000",2014,90,72
337,SF,28.8,"$160,336,782","$152,735,333",-,"$7,501,449","$100,000",2014,88,74
338,TEX,26.8,"$124,805,583","$116,811,403",-,"$7,994,180",-,2014,67,95
339,DET,27.8,"$172,143,106","$148,590,789","$15,800,000","$7,255,247","$497,070",2014,90,72
340,BOS,27.7,"$170,095,758","$95,417,971",-,"$61,397,733","$30,054",2014,71,91
341,PHI,29.1,"$175,061,605","$145,123,014","$25,000,000","$4,263,731","$674,860",2014,73,89
342,NYY,29.5,"$212,512,317","$196,734,750",-,"$15,663,048","$114,519",2014,84,78
343,LAD,28.9,"$241,557,818","$235,557,818",-,"$3,000,000","$3,000,000",2014,94,68
344,COL,27.8,"$96,772,365","$96,456,583",-,"$202,995","$112,787",2014,66,96
345,SD,27.6,"$85,001,967","$67,296,350","$501,400","$16,594,743","$609,474",2014,77,85
346,SEA,27.5,"$115,534,174","$100,330,060",-,"$12,504,114","$1,700,000",2014,87,75
347,OAK,29.1,"$91,638,412","$65,864,461",-,"$22,605,236","$3,168,715",2014,88,74
348,MIA,26.8,"$50,559,679","$42,496,784",-,"$7,939,616","$123,279",2014,77,85
349,HOU,26.7,"$51,679,490","$45,231,726",-,"$6,051,590","$396,174",2014,70,92
350,PIT,27.6,"$76,802,804","$69,388,939",-,"$7,320,970","$92,895",2014,88,74
351,CLE,27.7,"$84,481,929","$60,720,646",-,"$23,415,930","$345,353",2014,85,77
352,TB,28.0,"$76,821,046","$63,704,707",-,"$13,116,339",-,2014,77,85
353,MIL,28.3,"$108,777,046","$108,174,589",-,"$520,491","$81,966",2014,82,80
354,KC,28.7,"$96,603,300","$90,536,848",-,"$4,686,452","$1,380,000",2014,89,73
355,NYM,27.5,"$94,478,037","$74,021,346",-,"$19,290,982","$1,165,709",2014,79,83
356,CHW,26.9,"$89,297,302","$60,305,897",-,"$28,411,749","$579,656",2014,73,89
357,CHC,26.7,"$90,364,741","$54,429,470",-,"$34,683,034","$1,252,237",2014,73,89
358,MIN,27.0,"$87,494,478","$72,140,448",-,"$15,337,637","$16,393",2014,70,92
359,BAL,28.0,"$113,562,943","$108,470,318",-,"$2,282,926","$2,809,699",2014,96,66
360,CHW,26.9,"$111,777,595","$82,929,539",-,"$28,663,303","$184,753",2013,63,99
361,NYM,28.0,"$101,300,814","$70,361,236","$500,625","$29,697,743","$741,210",2013,74,88
362,TEX,28.5,"$137,937,146","$124,162,497","$465,901","$13,104,000","$204,748",2013,91,72
363,CHC,26.8,"$103,152,899","$55,657,243","$2,263,715","$40,905,330","$4,326,611",2013,66,96
364,DET,28.4,"$157,332,966","$151,033,294","$494,000","$5,805,672",-,2013,93,69
365,BOS,28.9,"$172,084,264","$167,018,895",-,"$5,340,903","$96,393",2013,97,65
366,SF,28.4,"$140,280,186","$137,880,980",-,"$2,157,977","$241,229",2013,76,86
367,TOR,29.3,"$131,771,168","$118,289,792",-,"$5,613,565","$7,867,811",2013,74,88
368,LAA,27.7,"$141,542,644","$117,426,989",-,"$23,845,171","$270,484",2013,78,84
369,PHI,28.8,"$163,536,898","$154,262,761","$765,791","$8,307,527","$200,819",2013,73,89
370,LAD,29.1,"$236,694,375","$207,849,759",-,"$22,547,116","$6,297,500",2013,92,70
371,NYY,29.8,"$234,518,126","$221,782,587",-,"$10,760,350","$1,975,189",2013,85,77
372,STL,27.8,"$120,192,638","$114,729,933",-,"$5,406,476","$56,229",2013,97,65
373,WSH,26.9,"$116,584,094","$107,973,970","$491,000","$6,025,410","$2,093,714",2013,86,76
374,MIN,27.2,"$81,300,970","$58,450,017",-,"$17,083,194","$5,767,759",2013,66,96
375,TB,29.1,"$72,600,703","$70,029,393","$270,436","$2,250,000","$50,874",2013,92,71
376,ATL,27.7,"$94,947,950","$94,401,592",-,"$202,972","$343,386",2013,96,66
377,MIL,27.5,"$88,221,045","$70,615,690",-,"$7,818,853","$286,502",2013,74,88
378,MIA,26.3,"$36,209,554","$27,969,339",-,"$6,896,666","$543,549",2013,62,100
379,OAK,28.0,"$67,055,517","$65,065,572",-,"$1,984,590","$5,355",2013,96,66
380,PIT,28.2,"$71,480,984","$67,762,905",-,"$832,370","$2,885,709",2013,94,68
381,SD,27.5,"$67,649,701","$64,220,894",-,"$3,238,561","$190,246",2013,76,86
382,KC,28.2,"$84,398,434","$76,594,673",-,"$6,399,663","$1,404,098",2013,86,76
383,HOU,25.3,"$28,727,913","$12,078,450",-,"$15,562,961","$1,086,502",2013,51,111
384,CLE,28.1,"$93,008,897","$78,454,465","$602,603","$13,914,068","$37,761",2013,92,70
385,COL,27.9,"$76,741,788","$73,766,018",-,"$1,459,705","$1,516,065",2013,74,88
386,ARI,28.2,"$88,316,478","$78,126,043",-,"$9,916,749","$273,686",2013,81,81
387,CIN,28.3,"$103,804,640","$97,930,597","$4,500,000",-,"$1,374,043",2013,90,72
388,SEA,26.8,"$82,720,022","$63,758,496",-,"$18,717,866","$243,660",2013,71,91
389,BAL,27.6,"$100,430,869","$97,466,019",-,"$1,222,009","$42,841",2013,85,77
390,TEX,27.4,"$138,312,903","$135,062,903",-,"$3,250,000",-,2012,93,69
391,COL,27.2,"$87,232,529","$76,398,104",-,"$10,834,425",-,2012,64,98
392,STL,28.0,"$119,957,765","$118,482,081",-,"$1,475,684",-,2012,88,74
393,NYM,27.4,"$104,988,166","$101,049,642",-,"$3,938,524",-,2012,74,88
394,MIA,27.3,"$98,120,191","$80,745,905",-,"$17,249,970","$124,316",2012,69,93
395,SF,29.0,"$137,043,205","$122,345,338",-,"$14,697,867",-,2012,94,68
396,MIL,27.7,"$113,095,795","$110,652,079",-,"$2,443,716",-,2012,83,79
397,BOS,28.5,"$173,216,551","$166,392,780",-,"$6,823,771",-,2012,69,93
398,DET,27.2,"$143,782,286","$138,282,286",-,"$5,500,000",-,2012,88,74
399,MIN,27.6,"$107,939,507","$107,939,507",-,-,-,2012,66,96
400,LAA,28.4,"$157,168,625","$153,844,690",-,"$3,323,935",-,2012,89,73
401,CHC,26.4,"$115,861,526","$83,319,366",-,"$32,542,160",-,2012,61,101
402,PHI,29.5,"$177,862,491","$167,544,458",-,"$10,318,033",-,2012,81,81
403,NYY,30.4,"$225,589,742","$213,651,218",-,"$11,938,524",-,2012,95,67
404,LAD,29.0,"$117,202,717","$112,952,717",-,"$4,250,000",-,2012,86,76
405,ARI,28.6,"$80,711,013","$74,074,400",-,"$6,636,613",-,2012,81,81
406,TOR,28.2,"$95,551,627","$89,817,658",-,"$5,083,969","$650,000",2012,73,89
407,CIN,27.8,"$89,901,498","$89,101,498",-,-,"$800,000",2012,97,65
408,CHW,27.9,"$108,841,055","$108,119,744",-,"$721,311",-,2012,85,77
409,OAK,27.2,"$60,470,192","$56,608,334",-,"$3,861,858",-,2012,94,68
410,TB,28.6,"$68,144,135","$67,844,135",-,"$300,000",-,2012,90,72
411,PIT,28.2,"$61,118,682","$57,932,479",-,"$3,186,203",-,2012,79,83
412,BAL,27.0,"$82,932,168","$80,099,381",-,"$2,832,787",-,2012,93,69
413,SD,27.5,"$63,831,125","$60,053,625",-,"$2,550,000","$1,227,500",2012,76,86
414,KC,26.4,"$70,344,235","$66,385,000",-,"$2,579,235","$1,380,000",2012,72,90
415,HOU,26.1,"$54,547,239","$23,728,500",-,"$30,818,739",-,2012,55,107
416,WSH,27.2,"$98,044,359","$95,623,594",-,"$420,765","$2,000,000",2012,98,64
417,ATL,28.4,"$97,928,056","$86,492,616",-,"$11,435,440",-,2012,94,68
418,SEA,26.7,"$84,289,928","$73,071,348",-,"$11,218,580",-,2012,75,87
419,CLE,27.2,"$76,577,243","$70,583,254",-,"$5,993,989",-,2012,68,94
420,CHW,28.5,"$127,263,027","$114,482,025",-,"$12,781,002",-,2011,79,83
421,BAL,27.7,"$91,751,399","$91,391,741",-,-,"$359,658",2011,69,93
422,LAD,28.6,"$115,174,517","$98,385,517",-,"$16,789,000",-,2011,82,79
423,SF,29.0,"$125,242,452","$124,142,452",-,"$1,100,000",-,2011,86,76
424,SEA,26.9,"$100,829,148","$88,307,834",-,"$12,521,314",-,2011,67,95
425,HOU,27.2,"$84,598,388","$71,121,885",-,"$13,476,503",-,2011,56,106
426,CHC,28.1,"$137,666,584","$123,941,584",-,"$13,725,000",-,2011,71,91
427,PHI,29.9,"$170,018,182","$169,849,882",-,"$168,300",-,2011,102,60
428,LAA,27.7,"$146,648,559","$133,613,959",-,"$13,034,600",-,2011,86,76
429,MIN,27.4,"$114,445,627","$107,337,033",-,"$7,108,594",-,2011,63,99
430,NYM,28.7,"$142,245,841","$96,577,418",-,"$45,668,423",-,2011,77,85
431,BOS,28.9,"$170,490,761","$162,455,090",-,"$8,239,278",-,2011,90,72
432,DET,27.6,"$111,521,015","$111,271,015",-,"$250,000",-,2011,95,67
433,STL,28.3,"$118,919,465","$115,410,901",-,"$2,808,564","$700,000",2011,90,72
434,WSH,27.4,"$74,574,723","$72,574,723",-,-,"$2,000,000",2011,80,81
435,COL,27.8,"$82,897,934","$77,367,736",-,"$5,530,198",-,2011,73,89
436,ATL,28.7,"$98,696,230","$98,521,630",-,"$174,600",-,2011,89,73
437,TEX,28.0,"$103,326,721","$98,857,920",-,"$4,468,801",-,2011,96,66
438,CIN,27.8,"$81,920,546","$79,612,874",-,"$2,307,672",-,2011,79,83
439,OAK,27.3,"$75,241,048","$68,725,475",-,"$6,515,573",-,2011,74,88
440,MIL,28.5,"$92,277,138","$91,777,138",-,"$500,000",-,2011,96,66
441,TOR,26.2,"$73,491,604","$56,304,461",-,"$17,187,143",-,2011,81,81
442,MIA,27.2,"$65,006,851","$63,006,851",-,"$2,000,000",-,2011,72,90
443,KC,26.1,"$52,486,804","$38,687,131",-,"$12,419,673","$1,380,000",2011,71,91
444,CLE,27.4,"$55,960,593","$55,960,593",-,-,-,2011,80,82
445,ARI,28.5,"$64,297,970","$56,498,519",-,"$6,899,451","$900,000",2011,94,68
446,SD,27.9,"$48,018,810","$47,418,810",-,"$600,000",-,2011,71,91
447,PIT,26.9,"$47,976,645","$46,168,585",-,"$1,808,060",-,2011,72,90
448,TB,27.7,"$45,386,925","$45,386,925",-,-,-,2011,91,71
449,NYY,29.5,"$210,950,685","$210,950,685",-,-,-,2011,97,65
